Datetime,Actual LSTM,Predicted LSTM,Actual Transformer,Predicted Transformer
2024-03-29 07:00:00+00:00,15.599999999999998,17.134918,15.599999999999998,18.13929
2024-03-29 08:00:00+00:00,11.999999999999996,16.043484,11.999999999999996,17.072664
2024-03-29 09:00:00+00:00,13.000000000000004,13.972811,13.000000000000004,14.642694
2024-03-29 10:00:00+00:00,12.0,13.269283,12.0,15.476614
2024-03-29 11:00:00+00:00,8.0,12.685482,8.0,10.321766
2024-03-29 12:00:00+00:00,10.999999999999996,12.065697,10.999999999999996,9.845993
2024-03-29 13:00:00+00:00,8.0,13.812576,8.0,10.171267
2024-03-29 14:00:00+00:00,16.0,14.229822,16.0,12.505043
2024-03-29 15:00:00+00:00,19.0,20.241241,19.0,20.52495
2024-03-29 16:00:00+00:00,31.0,23.010645,31.0,21.17419
2024-03-29 17:00:00+00:00,22.0,30.96206,22.0,29.408098
2024-03-29 18:00:00+00:00,25.0,24.92015,25.0,24.027357
2024-03-29 19:00:00+00:00,25.0,25.440153,25.0,24.653723
2024-03-29 20:00:00+00:00,69.0,26.236208,69.0,26.309578
2024-03-29 21:00:00+00:00,42.0,58.394993,42.0,62.479244
2024-03-29 22:00:00+00:00,38.0,44.447075,38.0,43.605404
2024-03-29 23:00:00+00:00,61.0,39.344566,61.0,42.718887
2024-03-30 00:00:00+00:00,119.00000000000003,57.06781,119.00000000000003,60.998272
2024-03-30 01:00:00+00:00,119.00000000000003,93.79279,119.00000000000003,99.570854
2024-03-30 02:00:00+00:00,128.00000000000003,95.76772,128.00000000000003,100.37865
2024-03-30 03:00:00+00:00,65.0,96.5468,65.0,101.56318
2024-03-30 04:00:00+00:00,29.0,48.606586,29.0,57.021004
2024-03-30 05:00:00+00:00,16.999999999999996,26.467352,16.999999999999996,25.537369
2024-03-30 06:00:00+00:00,13.000000000000004,18.211147,13.000000000000004,16.023947
2024-03-30 07:00:00+00:00,13.000000000000004,15.417637,13.000000000000004,14.168386
2024-03-30 08:00:00+00:00,8.0,15.653076,8.0,15.628254
2024-03-30 09:00:00+00:00,7.0,14.696655,7.0,14.299278
2024-03-30 10:00:00+00:00,5.0,14.811367,5.0,14.318712
2024-03-30 11:00:00+00:00,15.0,13.805925,15.0,14.0837555
2024-03-30 12:00:00+00:00,15.0,17.187641,15.0,17.582714
2024-03-30 13:00:00+00:00,12.0,18.533772,12.0,17.136759
2024-03-30 14:00:00+00:00,13.000000000000004,20.579245,13.000000000000004,19.390709
2024-03-30 15:00:00+00:00,29.0,22.31385,29.0,22.416569
2024-03-30 16:00:00+00:00,38.0,31.207354,38.0,29.874277
2024-03-30 17:00:00+00:00,31.0,38.823757,31.0,37.326263
2024-03-30 18:00:00+00:00,49.0,36.167336,49.0,34.785255
2024-03-30 19:00:00+00:00,74.0,50.624935,74.0,49.595387
2024-03-30 20:00:00+00:00,59.0,69.71543,59.0,69.84756
2024-03-30 21:00:00+00:00,30.0,56.88762,30.0,59.44532
2024-03-30 22:00:00+00:00,10.999999999999996,33.468113,10.999999999999996,34.41679
2024-03-30 23:00:00+00:00,6.0,18.863678,6.0,19.655243
2024-03-31 00:00:00+00:00,13.999999999999996,12.539671,13.999999999999996,14.286827
