Model,RMSE,MAE,R2
Linear Regression,33.72435328509667,23.84653607636761,0.26023991757655507
Random Forest,31.856537331761416,21.64498247327696,0.3399136244349088
XGBoost,32.17404714308473,21.780481014876692,0.326690068741762
LSTM,17.853170873885283,9.499927553842106,0.79297725374932
Transformer,17.976240935947715,9.718080528012267,0.7901132113674023
