Datetime,Actual Linear Regression,Predicted Linear Regression,Actual Random Forest,Predicted Random Forest,Actual XGBoost,Predicted XGBoost
2024-03-26 05:00:00+00:00,1.000000000000007,33.03019436472425,1.000000000000007,30.215063507642032,1.000000000000007,24.925035
2024-03-26 06:00:00+00:00,1.000000000000007,33.6377212690611,1.000000000000007,26.119109334122285,1.000000000000007,23.80454
2024-03-26 07:00:00+00:00,3.0,31.463577256435656,3.0,26.37064476812902,3.0,27.251564
2024-03-26 08:00:00+00:00,3.0,29.2745385651192,3.0,27.931438555117367,3.0,26.952457
2024-03-26 09:00:00+00:00,1.000000000000007,29.780479684360785,1.000000000000007,26.64198495125109,1.000000000000007,25.129847
2024-03-26 10:00:00+00:00,0.0,28.80848385254899,0.0,28.10529860516098,0.0,33.269505
2024-03-26 11:00:00+00:00,8.0,17.63243888027091,8.0,25.588586844219755,8.0,28.242176
2024-03-26 12:00:00+00:00,13.0,16.396584607210343,13.0,28.792330992040476,13.0,27.080473
2024-03-26 13:00:00+00:00,17.8,24.51589372039041,17.8,24.517326295907232,17.8,21.052744
2024-03-26 14:00:00+00:00,25.0,24.639191682640444,25.0,29.564581195560258,25.0,30.166965
2024-03-26 15:00:00+00:00,19.0,29.983314586522056,19.0,26.323154707744838,19.0,23.512245
2024-03-26 16:00:00+00:00,19.0,19.92433574405709,19.0,27.530352541429586,19.0,27.256844
2024-03-26 17:00:00+00:00,16.999999999999996,27.25493582887202,16.999999999999996,35.00602504131877,16.999999999999996,35.09669
2024-03-26 18:00:00+00:00,8.0,23.046766287209948,8.0,30.00798838106695,8.0,29.451973
2024-03-26 19:00:00+00:00,8.0,18.676383435368507,8.0,32.63054003734447,8.0,33.251034
2024-03-26 20:00:00+00:00,7.0,13.195118939613621,7.0,30.055175273272773,7.0,30.58017
2024-03-26 21:00:00+00:00,13.999999999999996,14.729066798516214,13.999999999999996,29.90150761885412,13.999999999999996,27.873226
2024-03-26 22:00:00+00:00,9.0,17.918369042960876,9.0,24.348789342689482,9.0,23.19736
2024-03-26 23:00:00+00:00,9.0,11.615305650731102,9.0,23.787844523589882,9.0,24.240412
2024-03-27 00:00:00+00:00,9.0,2.22138292085765,9.0,22.427497146239094,9.0,28.987045
2024-03-27 01:00:00+00:00,5.0,3.4934143190255327,5.0,22.528763136290475,5.0,18.22712
2024-03-27 02:00:00+00:00,3.0,10.22936685621039,3.0,21.094241731147047,3.0,15.963809
2024-03-27 03:00:00+00:00,3.0,12.564522591886089,3.0,25.785107864710938,3.0,23.218987
2024-03-27 04:00:00+00:00,5.0,14.714167720843875,5.0,26.556528061621226,5.0,28.651413
2024-03-27 05:00:00+00:00,3.0,12.259242411043715,3.0,30.49725357602858,3.0,34.746304
2024-03-27 06:00:00+00:00,0.0,11.012564448970352,0.0,24.051926616523723,0.0,26.077238
2024-03-27 07:00:00+00:00,1.8000000000000045,16.54557310673829,1.8000000000000045,28.15067912617014,1.8000000000000045,31.750103
2024-03-27 08:00:00+00:00,1.000000000000007,7.550973381259951,1.000000000000007,24.388360370210876,1.000000000000007,28.665379
2024-03-27 09:00:00+00:00,2.0,11.040630587963506,2.0,25.033948739736843,2.0,28.017433
2024-03-27 10:00:00+00:00,3.0,9.006591482613885,3.0,25.919601263105577,3.0,24.522514
2024-03-27 11:00:00+00:00,4.0,10.361151113694063,4.0,24.868962839435667,4.0,21.630962
2024-03-27 12:00:00+00:00,5.0,9.953265525358347,5.0,25.498777278909955,5.0,26.182898
2024-03-27 13:00:00+00:00,3.3999999999999915,14.912238622694304,3.3999999999999915,29.533316919772936,3.3999999999999915,38.052296
2024-03-27 14:00:00+00:00,5.0,18.24561305472173,5.0,32.83320681227706,5.0,35.968117
2024-03-27 15:00:00+00:00,5.0,22.125491012308203,5.0,31.496628018116688,5.0,33.75064
2024-03-27 16:00:00+00:00,2.0,26.05359009206711,2.0,26.030210098268903,2.0,26.744314
2024-03-27 17:00:00+00:00,0.0,30.768755934930027,0.0,32.037885093652584,0.0,34.43576
2024-03-27 18:00:00+00:00,1.000000000000007,31.30106968266989,1.000000000000007,30.527783355783576,1.000000000000007,33.15724
2024-03-27 19:00:00+00:00,2.0,30.80087523496013,2.0,29.396715508013617,2.0,33.101475
2024-03-27 20:00:00+00:00,4.0,26.873772727484493,4.0,23.313279836427103,4.0,24.324482
2024-03-27 21:00:00+00:00,3.0,26.00836410032275,3.0,20.012355521118202,3.0,20.838633
2024-03-27 22:00:00+00:00,3.0,30.66892063784246,3.0,26.15649190726262,3.0,24.715448
2024-03-27 23:00:00+00:00,12.0,34.65733549191975,12.0,32.88055122513774,12.0,29.824677
2024-03-28 00:00:00+00:00,9.0,29.595399821234878,9.0,34.4750632318914,9.0,29.255476
2024-03-28 01:00:00+00:00,8.0,24.979865148082354,8.0,28.192338468857525,8.0,24.949028
2024-03-28 02:00:00+00:00,8.0,26.484028175808135,8.0,25.174383425356105,8.0,19.85365
2024-03-28 03:00:00+00:00,8.0,27.344048795445246,8.0,30.550434426963495,8.0,29.816797
2024-03-28 04:00:00+00:00,15.0,9.349137472439565,15.0,30.33230108910423,15.0,37.196205
2024-03-28 05:00:00+00:00,29.0,-15.447774876498329,29.0,34.596542745218144,29.0,32.426174
2024-03-28 06:00:00+00:00,7.0,-14.405654313870855,7.0,33.11697223791805,7.0,28.504385
2024-03-28 07:00:00+00:00,31.2,6.228816216815858,31.2,27.48967218468485,31.2,20.219604
2024-03-28 08:00:00+00:00,5.0,6.61005483784777,5.0,31.179193556036576,5.0,23.7601
